Run,Scene,Config,HashSize,ATE_RMSE
1,office0,A,19,0.0053636822006101195
1,office0,B,19,0.005485636090842303
1,office0,C,19,0.00731270619145514
1,office0,D,19,0.006668598765495018
1,office1,A,19,0.005457689479484891
1,office1,B,19,0.004779816035324096
1,office1,C,19,0.007212516477924374
1,office1,D,19,0.006854181221600525
1,office2,A,19,0.01840787667420039
1,office2,B,19,0.01798960252574711
1,office2,C,19,0.01957963422234195
1,office2,D,19,0.01953309684957004
1,office3,A,19,0.013016977768960205
1,office3,B,19,0.012812536734302719
1,office3,C,19,0.013044591813293266
1,office3,D,19,0.01360745157771273
1,office4,A,19,0.007340212780484155
1,office4,B,19,0.007966505370198778
1,office4,C,19,0.008502741990991937
1,office4,D,19,0.008248201278030106
1,room0,A,19,0.005640957248277615
1,room0,B,19,0.005626327708331494
1,room0,C,19,0.007699049329315202
1,room0,D,19,0.006421270160840788
1,room1,A,19,0.01122840582597523
1,room1,B,19,0.007249940632457608
1,room1,C,19,0.013701836074382636
1,room1,D,19,0.012103483963415571
1,room2,A,19,0.01049307372188283
1,room2,B,19,0.009174763367649072
1,room2,C,19,0.013062884548278215
1,room2,D,19,0.01048315743018275
2,office0,A,19,0.005209678246971665
2,office0,B,19,0.00522731291820722
2,office0,C,19,0.00755767577769662
2,office0,D,19,0.007003594601597105
2,office1,A,19,0.005020122888084587
2,office1,B,19,0.006044462891861633
2,office1,C,19,0.011501455442336463
2,office1,D,19,0.009095346734866372
2,office2,A,19,0.01853068042536552
2,office2,B,19,0.02063693842440634
2,office2,C,19,0.01987700164641461
2,office2,D,19,0.02013626066283379
2,office3,A,19,0.012676924685026542
2,office3,B,19,0.012504535673515954
2,office3,C,19,0.014731380071342164
2,office3,D,19,0.013681844581947968
2,office4,A,19,0.007016308703133355
2,office4,B,19,0.008006967225450483
2,office4,C,19,0.008537139953212166
2,office4,D,19,0.008445274839357494
2,room0,A,19,0.006494858734783767
2,room0,B,19,0.006047645709198792
2,room0,C,19,0.007081851607981469
2,room0,D,19,0.007491817240675772
2,room1,A,19,0.009939182217289467
2,room1,B,19,0.007283674728835371
2,room1,C,19,0.011515949346508216
2,room1,D,19,0.014075739415066053
2,room2,A,19,0.009684309341366633
2,room2,B,19,0.010083420508308964
2,room2,C,19,0.012229649889251513
2,room2,D,19,0.01136922781693211
3,office0,A,19,0.005464754567832309
3,office0,B,19,0.005557491670805925
3,office0,C,19,0.007255570050864621
3,office0,D,19,0.006793149847090095
3,office1,A,19,0.004944911274892993
3,office1,B,19,0.005245390473546149
3,office1,C,19,0.006536384768089465
3,office1,D,19,0.008412920794996956
3,office2,A,19,0.01923267555710861
3,office2,B,19,0.018092472794655284
3,office2,C,19,0.020680534627342435
3,office2,D,19,0.022028066824957695
3,office3,A,19,0.012401895286639543
3,office3,B,19,0.013540409839977804
3,office3,C,19,0.012643113373602946
3,office3,D,19,0.012715911231150427
3,office4,A,19,0.007339194895314621
3,office4,B,19,0.0075629994790958315
3,office4,C,19,0.008744255194493972
3,office4,D,19,0.00812050197453311
3,room0,A,19,0.0062169071085125815
3,room0,B,19,0.005547475676078648
3,room0,C,19,0.007651092386348359
