Dataset,Scene,DepthSource,Frames,ProcessedShape,TotalPixels,AvailablePixels,AvailableDepthRatio,MissingDepthRatio,UsablePixels,UsableDepthRatio,WithinFarPixels,WithinFarRatio,FrameAvailableMin,FrameAvailableMedian,FrameAvailableMean,FrameAvailableStd,FrameAvailableMax,FrameUsableMin,FrameUsableMedian,FrameUsableMean,FrameUsableStd,FrameUsableMax,DepthTrunc,Far
Synthetic,br,depth_filtered,1167,480x640,358502400,327610508,0.9138307247036561,0.08616927529634388,327610508,0.9138307247036561,327599401,0.9137997430421665,0.800068359375,0.9147298177083333,0.913830724703656,0.03013933328679652,0.955849609375,0.800068359375,0.9147298177083333,0.913830724703656,0.03013933328679652,0.955849609375,100.0,5.0
Synthetic,ck,depth_filtered,1211,480x640,372019200,349224626,0.9387274258962979,0.06127257410370213,349224626,0.9387274258962979,348235362,0.9360682513160611,0.8958626302083333,0.9386165364583333,0.9387274258962977,0.01673093197538726,0.967001953125,0.8958626302083333,0.9386165364583333,0.9387274258962977,0.01673093197538726,0.967001953125,100.0,8.0
Synthetic,gr,depth_filtered,1442,480x640,442982400,410319088,0.9262649893088303,0.07373501069116972,410319088,0.9262649893088303,410319088,0.9262649893088303,0.8747265625,0.9259847005208334,0.9262649893088304,0.022146950872807734,0.9611979166666667,0.8747265625,0.9259847005208334,0.9262649893088304,0.022146950872807734,0.9611979166666667,100.0,8.0
Synthetic,gwr,depth_filtered,1493,480x640,458649600,420224997,0.9162223121965003,0.0837776878034997,420224997,0.9162223121965003,368697269,0.8038757016249442,0.7136100260416667,0.9540885416666667,0.9162223121965003,0.07257367112266805,0.9671842447916666,0.7136100260416667,0.9540885416666667,0.9162223121965003,0.07257367112266805,0.9671842447916666,100.0,4.0
Synthetic,ma,depth_filtered,920,480x640,282624000,266259975,0.9420996624490489,0.05790033755095114,266259975,0.9420996624490489,266259975,0.9420996624490489,0.8655045572916666,0.9488427734375,0.9420996624490489,0.02318170189042888,0.9665950520833333,0.8655045572916666,0.9488427734375,0.9420996624490489,0.02318170189042888,0.9665950520833333,100.0,4.0
Synthetic,tg,depth_filtered,395,480x640,121344000,96507638,0.7953227023997891,0.20467729760021092,96507638,0.7953227023997891,96507638,0.7953227023997891,0.64041015625,0.814130859375,0.795322702399789,0.06164526665145108,0.8821061197916666,0.64041015625,0.814130859375,0.795322702399789,0.06164526665145108,0.8821061197916666,100.0,4.0
Synthetic,wr,depth_filtered,1676,480x640,514867200,476897594,0.9262535931595565,0.07374640684044353,476897594,0.9262535931595565,476897594,0.9262535931595565,0.847001953125,0.9393408203125,0.9262535931595565,0.030941926601429377,0.9663932291666667,0.847001953125,0.9393408203125,0.9262535931595565,0.030941926601429377,0.9663932291666667,100.0,8.0
Synthetic,ALL,configured scene inputs,8304,mixed,2550988800,2347044426,0.9200528148143967,0.07994718518560329,2347044426,0.9200528148143967,2294516327,0.8994615448723255,0.64041015625,,,,0.9671842447916666,0.64041015625,,,,0.9671842447916666,,
TUM,fr1_desk,associated depth,592,368x496,108056576,84749594,0.7843076019732478,0.21569239802675222,84749594,0.7843076019732478,84749594,0.7843076019732478,0.6296513411640954,0.7871258108345021,0.7843076019732478,0.046669550078630086,0.8734112026647967,0.6296513411640954,0.7871258108345021,0.7843076019732478,0.046669550078630086,0.8734112026647967,5.0,5.0
TUM,fr2_xyz,associated depth,3397,368x496,620047616,462600066,0.7460718403923353,0.2539281596076647,458388234,0.739279084656621,461836260,0.7448399898371676,0.4219790936185133,0.7709447317671809,0.7460718403923352,0.11854419748417375,0.8899237377279102,0.3897484221598878,0.7691203541374474,0.7392790846566211,0.12608473347149204,0.8899237377279102,5.0,6.0
TUM,fr3_office,associated depth,2515,368x496,459057920,410723775,0.8947101381019632,0.1052898618980368,391265982,0.8523237808422954,391265982,0.8523237808422954,0.7961573018934082,0.8978238955119214,0.8947101381019632,0.025486107637592535,0.9402064340813464,0.6694041462131838,0.8647769109396914,0.8523237808422954,0.058057691334502885,0.9400420757363254,5.0,5.0
TUM,ALL,configured scene inputs,6504,mixed,1187162112,958073435,0.8070283117323744,0.19297168826762556,934403810,0.787090322842109,937851836,0.7899947501019978,0.4219790936185133,,,,0.9402064340813464,0.3897484221598878,,,,0.9400420757363254,,
