Scene,Sampling,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
office0,baseline,19,1.5412998456042064,1.5473817124464682,96.22650146484375,0.0007812297553755343
office0,cropped,19,1.577819509484402,1.5977781320259943,95.90049982070923,0.0008956041710916907
office1,baseline,19,1.328839084216007,1.5555430255851217,94.81899738311768,0.0003147170900774654
office1,cropped,19,1.285789626229754,1.6073740239136665,94.3589985370636,0.0003074213509535184
office2,baseline,19,2.7996973630934927,2.3740236183599945,92.21500158309937,0.0038547219446627423
office2,cropped,19,2.8114440740921287,2.4951675736678487,91.72049760818481,0.0041392453567823395
office3,baseline,19,4.068899946702661,2.7852768696211427,90.75000286102295,0.0021694693714380264
office3,cropped,19,2.7801049113727068,2.782534683167758,90.32750129699707,0.002365263208048418
office4,baseline,19,2.1937887432118197,2.3232303211929506,92.0295000076294,7.513546051995945
office4,cropped,19,2.211901576745483,2.381100415237027,91.4205014705658,8.067389103416645
room0,baseline,19,2.2932008635211605,1.9563773834484006,95.23000121116638,0.001030292969517177
room0,cropped,19,2.275968431218679,1.9983900156582906,94.87450122833252,0.001067449375113938
room1,baseline,19,2.259252173821939,1.798741905001607,95.28999924659729,0.00020795039290533168
room1,cropped,19,2.184420252025925,1.7719368453881346,95.1200008392334,0.0001586716166457336
room2,baseline,19,1.9661903030264247,1.9000004148289882,93.97500157356262,0.004509891732595861
room2,cropped,19,1.9310012873201106,1.9138328944982064,93.64299774169922,0.005311214772518724
office0,baseline,16,1.5412989871346148,1.5527826403226992,96.14350199699402,0.0008337337021657731
office0,cropped,16,1.577583538206819,1.580080696216008,95.90299725532532,0.0009149524885287974
office1,baseline,16,1.3555234186274479,1.5390217853885915,94.89750266075134,0.00035070054309471743
office1,cropped,16,1.3426529113534524,1.556843329446154,94.56350207328796,0.0003292253722975147
office2,baseline,16,2.862309197790584,2.4144127655613583,92.08549857139587,0.003939254747820087
office2,cropped,16,3.0464888393051126,2.418567589174625,92.0229971408844,0.004458871262613684
office3,baseline,16,2.8557641807886647,2.612795446161303,91.28149747848511,0.001990507007576525
office3,cropped,16,2.9443680547527737,2.752488733396069,90.3564989566803,0.0022970951249590144
office4,baseline,16,2.2220432389200035,2.2651776330019167,92.35249757766724,0.00010157878023164812
office4,cropped,16,2.317838615954396,2.3322463556729365,91.60100221633911,0.00010307298907719087
room0,baseline,16,2.244810190531545,1.9676270423056503,95.14300227165222,0.0009806069101614412
room0,cropped,16,2.3064004687812423,1.988960657034387,94.92149949073792,0.0010499645213712938
room1,baseline,16,2.2988194546342484,1.7495978010502586,95.49499750137329,0.0001705529371065495
room1,cropped,16,2.098627200469461,1.7445637900328608,95.51249742507935,0.00017965337519854074
room2,baseline,16,1.9495689494569601,1.889641488686801,93.87999773025513,0.004638936297851615
room2,cropped,16,1.986104702716426,1.8813926665874114,93.78899931907654,0.005219713057158515
