Scene,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
br,13,2.0308570717054444,1.9891854777257145,94.17200088500977,0.0019118115233140998
br,14,2.047603707479967,1.9582023265208495,94.47649717330933,0.0019055483789998107
br,15,2.036457400122843,1.9410201799899824,94.79900002479553,0.0018546108549344353
br,16,2.0670533909821063,1.9702336738722084,94.3120002746582,0.001927730772877112
br,17,2.0829447933558796,1.9070403615966014,95.50849795341492,0.0015595645891153254
br,18,2.125271177117078,1.9246925813328466,95.08500099182129,0.0015107009858184028
br,19,2.057539865206888,1.949592888601969,94.34900283813477,0.0015582223568344489
br,20,2.0666511922805895,1.9376199336806659,94.95300054550171,0.0015251234799507074
br,21,2.1243376952308846,1.9503498833378163,94.8610007762909,0.0015693698514951393
br,22,2.1773252007345394,2.01885975600284,93.2860016822815,0.0016845599020598456
br,23,2.186699644317152,2.04492197001305,93.48750114440918,0.0017280393876717426
br,24,2.143431518491987,1.982186570520704,94.2775011062622,0.0017323962310911156
ck,13,4.61332750824341,4.819149735671666,70.54250240325928,0.0020127559764659964
ck,14,4.805142949861987,4.8576289387006995,69.96300220489502,0.002408345608273521
ck,15,4.602540265045091,4.848421405645468,68.96550059318542,0.0019489509213599376
ck,16,5.401546659013583,5.029261759227139,69.30400133132935,0.001408087155141402
ck,17,4.463976137032601,5.146981618874811,68.52700114250183,0.0011967342288699
ck,18,4.9063176856250434,5.136356708766039,68.06449890136719,0.0017261365428566933
ck,19,4.73786320398845,5.018430133022432,68.91649961471558,0.0019477402020129375
ck,20,4.631530125151078,5.462491042780027,68.29299926757812,0.0014018203728483059
ck,21,4.680280498401476,5.185973029820745,69.18799877166748,0.0024303324607899413
ck,22,5.332291514395251,5.00022806140576,71.5499997138977,0.0017872756870929152
ck,23,4.864381120068153,5.180064862496957,69.19649839401245,0.001905234603327699
ck,24,4.713895235724199,5.686731041214905,67.9194986820221,0.0022125348550616764
gr,13,1.927584169124678,2.8469949176748015,91.29649996757507,0.001673910446697846
gr,14,1.968412345768643,2.8271678585275666,91.60150289535522,0.001731712109176442
gr,15,1.9041397143001262,2.778924743950085,91.48749709129333,0.0017176262190332636
gr,16,1.9959229245815797,2.8275129054025063,91.36300086975098,0.001784603955456987
gr,17,2.0567440375699184,2.826204474572995,91.30200147628784,0.0015732275642221794
gr,18,2.062855781865647,2.904776505607831,91.11850261688232,0.0017084035789594054
gr,19,2.1252011265546957,2.9782176607392614,90.96149802207947,0.0017225076589966193
gr,20,2.0919865394096444,2.975598790445489,90.79300165176392,0.0017659169316175394
gr,21,1.9876883562658554,2.963632493930312,91.06850028038025,0.0016791489542811178
gr,22,2.0283971763573194,3.018751538592488,90.69600105285645,0.0017078838936868124
gr,23,2.0115674911862333,2.8739700597588236,91.18049740791321,0.0015828498362679966
gr,24,2.0944048335390644,2.9479570197773093,91.11049771308899,0.0016309937564074062
gwr,13,1.8934878197398337,2.142647159483429,94.59050297737122,0.0008870529200066812
gwr,14,1.9789790003375858,2.322481762512844,94.01400089263916,0.0010183888662140816
gwr,15,1.9268402199305052,2.236989494063419,94.4670021533966,0.0009973274245567154
gwr,16,1.9596530455962369,2.272313523062707,94.62800025939941,0.0008933278877520934
gwr,17,1.953444023415686,2.310240837661146,94.2995011806488,0.0008702962077222764
gwr,18,2.020671550365453,2.308011135306341,94.31700110435486,0.0009832352589000948
gwr,19,1.9401199353545653,2.3150188972589985,94.38149929046631,0.0011072297638747841
gwr,20,1.9434828603385186,2.337787629881826,94.11500096321106,0.0009797938218980562
gwr,21,2.0173432428091864,2.3790518390508266,94.05400156974792,0.00109057600639062
gwr,22,1.8310768044075942,2.2426405896929196,94.70000267028809,0.0008733357390156016
gwr,23,1.8638219653449635,2.28393590211421,94.42449808120728,0.0009212722034135368
gwr,24,1.8420500234342527,2.2676895177763665,94.61299777030945,0.0008321534551214427
ma,13,1.6080855287239757,2.6441508023521894,86.97999715805054,0.0006137549007689813
ma,14,1.5736262456369887,2.6831684772793354,86.78600192070007,0.0006948897407710319
ma,15,1.6163421846484152,2.6885706348799188,86.94300055503845,0.0005880909156985581
ma,16,1.5964769653823727,2.6552312407109637,87.1399998664856,0.0006174955160531681
ma,17,1.6223513725725711,2.688663723613746,86.87450289726257,0.0006404990472219652
ma,18,1.5754395153556564,2.6693449087257815,86.81600093841553,0.0006050921001587994
ma,19,1.5845096379282058,2.653464000494432,87.27350234985352,0.0007396828550554346
ma,20,1.6727602676524445,2.7335161374940316,86.85700297355652,0.000742433167033596
ma,21,1.5576444791396562,2.65222399232043,87.1774971485138,0.0005725306891690707
ma,22,1.6121389174615575,2.707754471621971,87.00699806213379,0.000623523101239698
ma,23,1.5686893979669114,2.630845867673417,87.47699856758118,0.0005121354206494289
ma,24,1.636040272241619,2.6879983955863636,86.9825005531311,0.0005719643922930118
tg,13,2.640542617489147,2.822727751277841,86.24699711799622,0.0001842125584516907
tg,14,4.130603953724176,2.765665239908285,86.17600202560425,0.00020829670575039927
tg,15,3.9684589763994604,2.6106231838665903,86.6819977760315,0.00015688127632529358
tg,16,3.8843657427574785,2.8363314502271977,86.33049726486206,0.00010312348877050681
tg,17,3.3269117933073433,2.694420932033596,86.70499920845032,0.00015605894532200182
tg,18,4.1426977625792265,2.668970537499321,86.53200268745422,0.0002451223281241255
tg,19,3.323612321651658,2.6934281363404002,86.56299710273743,0.0002672569735295838
tg,20,3.2640140616142745,2.648000021332931,87.17150092124939,0.000213235375667864
tg,21,3.408182209795094,2.598124180852957,87.04749941825867,0.00012054005082973163
tg,22,3.961581445939829,2.6305338334357757,87.17399835586548,0.0003343591288285097
tg,23,4.004617246503151,2.7432316422661334,86.6349995136261,0.0001151055244008603
tg,24,3.5619346351832406,2.6865675989212474,86.84399724006653,0.00016750195754866581
wr,13,4.836917280272473,3.3678331967498707,84.96249914169312,0.002629367918416392
wr,14,4.869435757590561,3.4726724478535163,83.63800048828125,0.0027109113943879493
wr,15,5.471038424773957,3.489278992995501,83.8325023651123,0.0025314215235994197
wr,16,5.416404228628613,3.49722051566474,83.7119996547699,0.002716619746934157
wr,17,5.169748342403549,3.4891911125481303,83.54250192642212,0.0026030029403045774
wr,18,4.719539905448386,3.4313171937865103,84.02349948883057,0.0027299900466459803
wr,19,4.6620523374639875,3.531680710435791,83.46099853515625,0.0028257036319701
wr,20,5.090908390244387,3.374975788735959,84.8330020904541,0.0026480855012778193
wr,21,4.340774127889973,3.4649459322348064,83.82700085639954,0.0025079059923882596
wr,22,5.203162020700272,3.571999399759165,82.53700137138367,0.0026816736863111146
wr,23,4.752768597025644,3.4554061895021118,84.41150188446045,0.002432876681268681
wr,24,4.6547714919007275,3.545585208777525,83.45649838447571,0.002569567004684359
