Scene,Sampling,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
wr,baseline,19,5.341986860215576,3.54200215385432,83.4784984588623,0.0025750639906618744
wr,baseline,16,5.046175617287357,3.3663717672506617,84.7694993019104,0.002447837505314965
wr,cropped,19,4.821179198843096,3.5954174314728924,82.58349895477295,0.003254012335673906
wr,cropped,16,4.853659390869817,3.634949100404524,81.42300248146057,0.002992477129737381
br,baseline,19,2.0756345969783347,1.9768973826071532,93.99750232696533,0.0016790409063105471
br,baseline,16,2.1298261487072363,2.0025974125235795,94.12950277328491,0.0018063892639474943
br,cropped,19,2.182090134852687,2.025463946825817,93.70200037956238,0.0018740272935247049
br,cropped,16,2.2568842618871248,2.080059828626113,92.70449876785278,0.0021216161258053035
ck,baseline,19,4.791778534876991,4.959294141173986,69.6524977684021,0.0019004157365998253
ck,baseline,16,4.540001625887935,5.108344305648611,66.55349731445312,0.002329347080376465
ck,cropped,19,4.611544929365115,4.9054972979112215,67.63100028038025,0.0016531274013686925
ck,cropped,16,4.58458817656636,4.881491580090884,67.25450158119202,0.0011377662303857505
gr,baseline,19,2.015579046651863,2.8531201050891815,91.47549867630005,0.0016737600162741728
gr,baseline,16,2.100097604021368,2.869597294328855,91.21400117874146,0.0017492888218839653
gr,cropped,19,2.102261344486055,3.037228210205825,90.40949940681458,0.001865649755927734
gr,cropped,16,1.9851014221099397,2.8517586036310356,91.01099967956543,0.001723851528367959
gwr,baseline,19,1.8840362383539373,2.281013528011453,94.47600245475769,0.00095072973635979
gwr,baseline,16,1.9348077446168472,2.2891861106728895,94.44400072097778,0.0009838553523877636
gwr,cropped,19,1.9585959365719479,2.357666480241143,94.1100001335144,0.0011283270396234002
gwr,cropped,16,1.9263416379010758,2.3168572679259016,94.0750002861023,0.0010219014257017989
ma,baseline,19,1.626288680983802,2.68250611265295,87.10899949073792,0.0006560052952409023
ma,baseline,16,1.5670241897058659,2.6219439393831907,87.2065007686615,0.0006327058144961484
ma,cropped,19,1.599736922751498,2.648138346138199,87.04050183296204,0.0005971873633825453
ma,cropped,16,1.5996631854658987,2.584028937942262,87.4019980430603,0.0004795274890057044
tg,baseline,19,2.875066352977077,2.6388329452778714,86.79199814796448,0.00019400520159251755
tg,baseline,16,3.635953504405063,2.691520644605952,86.37149930000305,0.00019450196759862592
tg,cropped,19,3.9721510436605376,2.8598768150920653,86.16650104522705,8.593923439548234
tg,cropped,16,2.6221986345403803,2.6676726667522845,87.0764970779419,6.982763807172887
