Run,Scene,Sampling,HashSize,Accuracy,Completion,CompletionRatio,DepthL1
1,tg,baseline,19,4.253670815116779,2.7499308855840963,86.9350016117096,0.0001709202024358092
1,tg,baseline,16,3.136622088327394,2.754087657937217,86.68050169944763,0.00012146844028393389
1,tg,cropped,19,2.051759464775248,2.5835748415783204,87.5569999217987,0.0001244015948032029
1,tg,cropped,16,4.918743646154996,3.0265913114596663,85.41399836540222,0.00010364558420405956
2,tg,baseline,19,4.052451927475033,2.5484112112712034,87.13449835777283,0.00015346521422543447
2,tg,baseline,16,4.314586987325235,2.860309354689475,86.02100014686584,0.00013949775166111067
2,tg,cropped,19,3.204686337582743,2.8381013249699447,86.41049861907959,0.00020642276012949878
2,tg,cropped,16,3.5922056701396206,2.9351880995423167,85.85900068283081,9.70512701314874
3,tg,baseline,19,4.222024067905974,2.791723843657677,86.39000058174133,0.00016295394971166388
3,tg,baseline,16,4.09160560838283,2.775490807240611,86.44800186157227,0.00013053644352112315
3,tg,cropped,19,3.2864478601875504,2.833607929889533,86.25800013542175,0.00019892083855665987
3,tg,cropped,16,2.8358751074820203,2.756915204826033,86.87350153923035,0.0001932941131599364
4,tg,baseline,19,3.17303652206022,2.6037364638517575,87.2510015964508,0.00017562813354743412
4,tg,baseline,16,4.758852464900357,2.7634533289091596,86.1590027809143,0.00016973731362668332
4,tg,cropped,19,4.4092051812573745,2.836619044485232,86.69099807739258,7.580266583318007
4,tg,cropped,16,3.464700467884417,2.8903848270939774,86.55149936676025,0.00015958565882101539
5,tg,baseline,19,3.123931176446273,2.472966802351142,87.67750263214111,0.00024227538233390078
5,tg,baseline,16,3.2060537767875097,2.735057752013147,86.33750081062317,0.00014269086250351393
5,tg,cropped,19,1.6675300848666375,2.7220488023892164,87.0615005493164,9.780469554243609
5,tg,cropped,16,3.3133573326813694,2.8247442246011296,86.4139974117279,0.000166243819421652
6,tg,baseline,19,2.8403061582943216,2.5284726566644435,87.5789999961853,0.0002754714842012618
6,tg,baseline,16,3.2763804726796977,2.68034581921053,86.79999709129333,0.0002811922513501486
6,tg,cropped,19,3.1892169680721367,2.84485135983873,86.23600006103516,6.367647529259557
6,tg,cropped,16,2.587494693112887,2.7437855594240546,86.52949929237366,0.00010523579021537444
7,tg,baseline,19,4.297463778659332,2.661802388432733,86.9350016117096,0.00020963905171811348
7,tg,baseline,16,4.138338239456138,2.647289772657517,87.28650212287903,0.00010646208465914242
7,tg,cropped,19,1.9223154148185508,2.727482434996263,86.71150207519531,0.000119458093195135
7,tg,cropped,16,3.7464673580472203,2.8076173385145586,86.02949976921082,0.000128965461954067
8,tg,baseline,19,3.544501423143973,2.7455659184375083,86.64000034332275,0.00026733089271147037
8,tg,baseline,16,4.752141451067554,2.795622756697803,86.23200058937073,0.00023351492473011604
8,tg,cropped,19,5.980714995372865,2.7173183950306288,86.08999848365784,0.00010140491895072046
8,tg,cropped,16,1.8495806562088206,2.6284810537242875,87.37800121307373,0.0001344037173112156
9,tg,baseline,19,4.033722196722178,2.7638970106239977,86.48200035095215,0.00015375262591987848
9,tg,baseline,16,2.693355708825599,2.7175416346653933,86.97450160980225,0.00019809019704553066
9,tg,cropped,19,1.705149489767658,2.6426156376474106,87.18299865722656,8.238332043219998
9,tg,cropped,16,3.9522903236978824,2.760172603119289,86.73400282859802,0.00011332082294757129
10,tg,baseline,19,3.149924331337946,2.6763045568117114,87.13799715042114,0.00020581680928444257
10,tg,baseline,16,4.488619210202494,2.6717027546505387,86.85600161552429,0.00018915243344963528
10,tg,cropped,19,1.9601533481680766,2.411501029909317,88.36050033569336,9.967392315957113
10,tg,cropped,16,3.530448810716232,2.86260830164752,86.17950081825256,9.14309225663601
