timestamp,relative_time_seconds,datetime,slam_process_count,slam_cpu_percent,slam_memory_mb,slam_total_threads,system_cpu_percent,system_memory_percent,system_memory_available_mb,gpu_utilization_percent,gpu_memory_mb
1750082580.835603,1.6689300537109375e-06,2025-06-16T16:03:00.835603,3,0.0,6199.8,16,14.3,24.2,46897.73,0.0,2737.0
1750082581.3615215,0.5259201526641846,2025-06-16T16:03:01.361521,3,0.0,6199.8,16,1.3,24.2,46896.5,0.0,2737.0
1750082581.8874695,1.051868200302124,2025-06-16T16:03:01.887470,3,3.8,6199.8,16,2.1,24.3,46883.06,3.0,2737.0
1750082582.4112573,1.5756559371948242,2025-06-16T16:03:02.411257,3,1.9,6199.8,16,2.7,24.3,46858.75,2.0,2736.0
1750082582.9357674,2.100166082382202,2025-06-16T16:03:02.935767,5,59.4,6278.34,18,18.8,25.1,46345.69,3.0,2736.0
1750082583.4577963,2.62219500541687,2025-06-16T16:03:03.457796,5,225.9,6620.18,19,28.6,25.5,46123.5,0.0,2732.0
1750082583.9797554,3.1441540718078613,2025-06-16T16:03:03.979755,6,119.9,7868.18,22,23.5,27.3,45019.2,12.0,3204.0
1750082584.5055413,3.6699399948120117,2025-06-16T16:03:04.505541,6,321.1,9284.5,23,35.7,28.9,43997.03,15.0,3674.0
1750082585.0283728,4.1927714347839355,2025-06-16T16:03:05.028373,6,202.8,11196.14,25,18.9,31.5,42378.83,48.0,4500.0
1750082585.550774,4.71517276763916,2025-06-16T16:03:05.550774,6,202.8,13622.94,25,18.7,34.4,40631.04,46.0,5382.0
1750082586.0745623,5.2389609813690186,2025-06-16T16:03:06.074562,6,262.5,15711.19,42,27.4,37.2,38861.62,39.0,6380.0
1750082586.6005912,5.764989852905273,2025-06-16T16:03:06.600591,6,701.8,16299.09,42,59.4,38.1,38310.16,96.0,6592.0
1750082587.1257677,6.29016637802124,2025-06-16T16:03:07.125768,6,565.8,17146.48,42,49.2,39.3,37595.29,89.0,6904.0
1750082587.64778,6.812178611755371,2025-06-16T16:03:07.647780,8,47.7,17643.09,55,22.2,39.8,37233.44,2.0,6964.0
1750082588.1937714,7.358170032501221,2025-06-16T16:03:08.193771,9,105.3,17787.86,46,10.3,40.0,37155.64,0.0,6964.0
1750082588.7153244,7.879723072052002,2025-06-16T16:03:08.715324,9,243.4,18172.41,47,20.9,40.2,37003.09,0.0,6964.0
1750082589.2377672,8.40216588973999,2025-06-16T16:03:09.237767,10,57.4,18482.96,59,22.2,40.3,36953.14,0.0,6963.0
1750082589.7587688,8.92316746711731,2025-06-16T16:03:09.758769,11,94.0,18634.38,50,10.6,40.5,36837.75,0.0,6964.0
1750082590.2813284,9.445727109909058,2025-06-16T16:03:10.281328,11,237.3,19005.87,51,21.3,40.7,36696.21,3.0,6964.0
1750082590.8035362,9.967934846878052,2025-06-16T16:03:10.803536,11,429.2,19257.3,110,36.6,41.8,36040.44,48.0,7180.0
1750082591.3295877,10.493986368179321,2025-06-16T16:03:11.329588,11,204.7,19317.07,110,17.9,41.8,36030.39,30.0,7648.0
1750082591.8537784,11.018177032470703,2025-06-16T16:03:11.853778,11,516.8,19298.71,110,45.2,42.0,35885.04,54.0,7648.0
1750082592.3774817,11.541880369186401,2025-06-16T16:03:12.377482,11,457.7,19378.8,110,38.7,42.2,35797.86,54.0,7647.0
1750082592.9027636,12.067162275314331,2025-06-16T16:03:12.902764,11,187.3,19303.84,110,16.6,42.2,35788.05,0.0,7647.0
1750082593.4244246,12.588823318481445,2025-06-16T16:03:13.424425,11,547.2,19305.62,110,46.4,42.3,35701.34,51.0,7647.0
1750082593.949413,13.113811731338501,2025-06-16T16:03:13.949413,11,315.6,19327.62,110,27.2,42.2,35753.87,49.0,7647.0
1750082594.4707696,13.635168313980103,2025-06-16T16:03:14.470770,11,326.0,19340.38,110,27.6,42.3,35706.34,37.0,7646.0
1750082594.9963236,14.160722255706787,2025-06-16T16:03:14.996324,11,450.1,19336.89,110,38.2,42.4,35650.62,32.0,7646.0
1750082595.5228221,14.687220811843872,2025-06-16T16:03:15.522822,11,204.0,19316.12,110,17.7,42.4,35654.08,0.0,7638.0
1750082596.0472832,15.211681842803955,2025-06-16T16:03:16.047283,11,536.5,19351.24,110,45.9,42.4,35650.86,50.0,7638.0
1750082596.57254,15.736938714981079,2025-06-16T16:03:16.572540,11,455.9,19334.71,110,39.3,42.5,35607.47,41.0,7638.0
1750082597.0976496,16.26204824447632,2025-06-16T16:03:17.097650,11,586.2,19337.07,110,50.4,42.7,35495.66,55.0,7640.0
1750082597.622344,16.786742687225342,2025-06-16T16:03:17.622344,11,489.9,19338.29,110,42.2,42.6,35541.48,36.0,7640.0
1750082598.1446161,17.309014797210693,2025-06-16T16:03:18.144616,11,132.2,19339.19,110,11.2,42.5,35588.43,0.0,7640.0
1750082598.6655102,17.829908847808838,2025-06-16T16:03:18.665510,11,562.3,19337.49,110,47.7,42.5,35603.45,49.0,7640.0
1750082599.1895995,18.3539981842041,2025-06-16T16:03:19.189600,11,252.4,19317.71,110,21.6,42.5,35559.98,45.0,7640.0
1750082599.7116067,18.87600541114807,2025-06-16T16:03:19.711607,11,385.6,19350.93,110,33.3,42.7,35479.98,44.0,7640.0
1750082600.2356105,19.400009155273438,2025-06-16T16:03:20.235610,11,547.1,19351.09,110,49.7,42.6,35545.37,49.0,7640.0
1750082600.758774,19.92317271232605,2025-06-16T16:03:20.758774,11,525.4,19306.89,110,44.1,42.4,35625.29,61.0,7640.0
1750082601.284352,20.448750734329224,2025-06-16T16:03:21.284352,11,390.1,19324.6,110,33.7,42.3,35701.55,49.0,7640.0
1750082601.8066947,20.97109341621399,2025-06-16T16:03:21.806695,11,221.4,19370.74,110,19.2,42.3,35733.09,40.0,7640.0
1750082602.3316004,21.495999097824097,2025-06-16T16:03:22.331600,11,588.7,19372.6,110,50.9,42.3,35731.24,56.0,7640.0
1750082602.857812,22.022210597991943,2025-06-16T16:03:22.857812,11,443.7,19332.48,110,38.3,42.2,35754.94,45.0,7640.0
1750082603.379862,22.54426074028015,2025-06-16T16:03:23.379862,11,169.6,19374.82,110,14.8,42.2,35747.15,1.0,7640.0
1750082603.9047678,23.06916642189026,2025-06-16T16:03:23.904768,11,529.4,19335.62,110,45.0,42.3,35711.7,45.0,7640.0
1750082604.4277766,23.592175245285034,2025-06-16T16:03:24.427777,11,218.7,19355.74,110,18.6,42.2,35744.43,0.0,7640.0
1750082604.9487736,24.11317229270935,2025-06-16T16:03:24.948774,11,447.9,19386.53,110,38.1,42.2,35785.43,49.0,7640.0
1750082605.475976,24.640374660491943,2025-06-16T16:03:25.475976,11,454.5,19345.11,110,37.9,42.2,35800.42,39.0,7640.0
