timestamp,relative_time_seconds,datetime,slam_process_count,slam_cpu_percent,slam_memory_mb,slam_memory_percent,cpu_cores_in_use,cpu_total_cores,system_cpu_percent,system_memory_percent,system_memory_available_mb,gpu_utilization_percent,gpu_memory_mb,cuda_cores,core_0_cpu_percent,core_1_cpu_percent,core_2_cpu_percent,core_3_cpu_percent,core_4_cpu_percent,core_5_cpu_percent,core_6_cpu_percent,core_7_cpu_percent,core_8_cpu_percent,core_9_cpu_percent,core_10_cpu_percent,core_11_cpu_percent
1750087711.2974956,1.6689300537109375e-06,2025-06-16T17:28:31.297496,3,0.0,4747.11,7.67,6,12,20.0,22.4,48006.68,13.0,2305.0,5888,100.0,0.0,33.3,50.0,50.0,0.0,0.0,33.3,0.0,0.0,50.0,0.0
1750087711.8327892,0.5352952480316162,2025-06-16T17:28:31.832789,3,103.4,5631.02,9.1,1,12,9.2,23.7,47205.56,6.0,2631.0,5888,3.7,1.9,96.2,1.9,0.0,0.0,0.0,0.0,0.0,1.9,0.0,3.8
1750087712.3643615,1.0668675899505615,2025-06-16T17:28:32.364362,3,48.9,6165.65,9.96,6,12,7.5,24.8,46572.68,1.0,2675.0,5888,1.9,3.8,45.3,5.7,1.9,3.8,7.7,5.7,5.7,0.0,5.6,0.0
1750087712.8941164,1.5966224670410156,2025-06-16T17:28:32.894116,3,1.9,6165.65,9.96,1,12,1.3,24.7,46578.05,3.0,2675.0,5888,5.6,1.9,3.7,0.0,1.9,0.0,0.0,1.9,0.0,0.0,0.0,1.9
1750087713.4283612,2.1308672428131104,2025-06-16T17:28:33.428361,3,3.7,6165.65,9.96,1,12,2.3,24.8,46562.33,4.0,2675.0,5888,7.5,1.9,3.8,3.7,0.0,1.9,1.9,0.0,1.9,0.0,0.0,1.9
1750087713.962497,2.6650030612945557,2025-06-16T17:28:33.962497,3,1.9,6165.65,9.96,0,12,1.2,24.8,46572.99,0.0,2675.0,5888,3.8,1.9,3.8,0.0,1.9,0.0,3.6,1.9,1.9,0.0,0.0,0.0
1750087714.4967923,3.19929838180542,2025-06-16T17:28:34.496792,5,52.6,6240.1,10.08,4,12,8.6,25.5,46111.13,2.0,2676.0,5888,9.4,1.9,56.6,1.9,0.0,0.0,19.2,5.6,0.0,1.9,0.0,3.7
1750087715.0280178,3.7305238246917725,2025-06-16T17:28:35.028018,5,193.8,6586.75,10.64,12,12,31.2,25.6,46074.59,7.0,2712.0,5888,38.5,24.5,84.9,27.8,20.4,21.2,43.4,22.6,29.6,22.6,22.6,23.1
1750087715.5604558,4.2629618644714355,2025-06-16T17:28:35.560456,6,123.8,8029.46,12.97,12,12,24.9,26.9,45267.42,18.0,3248.0,5888,48.2,19.6,98.2,13.0,12.7,12.3,30.9,14.3,9.3,12.5,12.7,12.5
1750087716.123731,4.826236963272095,2025-06-16T17:28:36.123731,6,221.0,9669.07,15.62,8,12,20.1,29.2,43839.3,20.0,3941.0,5888,17.0,16.7,3.7,7.4,5.6,3.8,64.8,15.1,94.4,3.8,5.5,3.8
1750087716.6567476,5.359253644943237,2025-06-16T17:28:36.656748,6,202.6,12119.6,19.58,4,12,18.4,32.7,41672.86,44.0,4822.0,5888,1.9,3.8,20.8,1.9,0.0,1.9,100.0,5.7,78.2,3.7,0.0,1.9
1750087717.1897948,5.892300844192505,2025-06-16T17:28:37.189795,6,202.5,14158.14,22.87,2,12,17.7,35.5,39896.82,59.0,5550.0,5888,0.0,1.9,0.0,3.7,0.0,0.0,100.0,3.8,98.1,3.7,0.0,1.9
1750087717.7226696,6.425175666809082,2025-06-16T17:28:37.722670,6,377.6,15931.98,25.74,10,12,33.7,38.0,38375.75,71.0,6421.0,5888,11.1,5.8,1.9,15.7,37.7,20.8,96.2,40.4,100.0,37.7,3.7,32.7
1750087718.259353,6.9618589878082275,2025-06-16T17:28:38.259353,6,704.1,16491.41,26.64,12,12,60.0,38.8,37860.16,91.0,6609.0,5888,25.0,34.5,34.5,48.1,45.3,63.0,79.6,98.1,74.1,100.0,57.4,55.6
1750087718.796221,7.498727083206177,2025-06-16T17:28:38.796221,7,383.7,17335.95,28.01,11,12,34.3,40.1,37070.59,27.0,6925.0,5888,32.7,3.8,22.6,32.1,29.6,13.5,59.3,51.9,47.2,50.0,32.1,35.8
1750087719.3289282,8.031434297561646,2025-06-16T17:28:39.328928,8,20.6,17725.27,28.64,12,12,21.9,40.4,36907.25,1.0,6925.0,5888,67.9,20.4,20.8,17.0,15.1,14.8,14.8,11.5,43.4,13.2,14.8,13.5
1750087719.859425,8.561931133270264,2025-06-16T17:28:39.859425,9,71.2,18009.69,29.1,4,12,11.0,40.5,36813.45,3.0,6922.0,5888,5.7,3.8,45.3,3.7,3.8,1.9,48.1,3.8,5.6,0.0,1.9,3.7
1750087720.3937387,9.096244812011719,2025-06-16T17:28:40.393739,9,247.6,18183.5,29.38,12,12,22.1,40.7,36700.76,0.0,6928.0,5888,89.1,16.4,18.5,14.8,14.5,14.5,23.2,14.5,13.0,14.3,12.5,16.4
1750087720.946965,9.649471044540405,2025-06-16T17:28:40.946965,10,1.9,18572.07,30.01,12,12,21.2,41.0,36535.57,1.0,6925.0,5888,72.2,17.3,14.8,20.0,14.8,14.8,26.4,14.8,22.6,15.1,13.2,15.1
1750087721.4777777,10.180283784866333,2025-06-16T17:28:41.477778,11,55.1,18882.48,30.51,12,12,21.4,41.2,36396.82,0.0,6925.0,5888,17.0,25.0,48.1,14.8,14.5,13.0,21.8,14.5,45.5,13.0,14.8,14.5
1750087722.0227723,10.725278377532959,2025-06-16T17:28:42.022772,11,216.4,19281.35,31.15,12,12,19.2,42.3,35699.33,0.0,7141.0,5888,18.9,13.5,44.2,11.3,11.5,5.7,50.0,11.5,15.1,20.4,13.0,11.5
1750087722.5567124,11.259218454360962,2025-06-16T17:28:42.556712,11,607.5,19321.39,31.22,12,12,58.0,42.8,35404.72,70.0,7608.0,5888,64.8,60.4,44.4,38.9,50.9,44.4,52.8,63.0,79.2,74.1,59.6,61.8
1750087723.0935478,11.796053886413574,2025-06-16T17:28:43.093548,11,338.6,19303.66,31.19,12,12,30.3,42.8,35399.05,26.0,7608.0,5888,17.0,20.8,22.6,13.2,40.4,24.5,43.6,39.6,51.9,50.0,18.2,24.5
1750087723.62442,12.326925992965698,2025-06-16T17:28:43.624420,11,299.8,19325.28,31.22,12,12,27.1,42.9,35329.8,37.0,7608.0,5888,34.6,7.7,18.9,11.3,16.7,17.0,22.6,46.3,35.2,43.4,43.4,28.3
1750087724.1613514,12.863857507705688,2025-06-16T17:28:44.161351,11,468.5,19396.98,31.34,12,12,40.5,42.9,35312.38,42.0,7608.0,5888,24.1,17.0,15.4,20.8,15.1,20.8,66.0,64.2,69.8,56.6,68.5,47.2
1750087724.6943705,13.396876573562622,2025-06-16T17:28:44.694371,11,199.8,19330.3,31.23,12,12,18.2,43.0,35249.91,10.0,7608.0,5888,18.9,11.3,9.4,17.3,22.6,13.5,20.4,30.2,28.8,16.7,9.4,21.2
1750087725.2245202,13.927026271820068,2025-06-16T17:28:45.224520,11,546.1,19333.08,31.24,12,12,46.7,43.1,35187.2,55.0,7608.0,5888,28.3,20.8,13.2,20.8,18.9,27.8,67.3,79.6,79.6,67.3,71.7,59.3
1750087725.7584813,14.460987329483032,2025-06-16T17:28:45.758481,11,297.1,19313.47,31.2,12,12,25.9,43.1,35209.2,36.0,7608.0,5888,14.8,9.4,9.4,7.5,9.4,28.8,41.8,43.4,44.4,44.4,43.4,19.2
1750087726.2897797,14.99228572845459,2025-06-16T17:28:46.289780,11,335.0,19344.26,31.25,12,12,29.2,43.2,35185.99,55.0,7608.0,5888,11.3,13.2,14.8,18.5,13.0,18.5,45.3,44.4,48.1,43.4,44.4,30.2
1750087726.823769,15.526275157928467,2025-06-16T17:28:46.823769,11,455.4,19346.12,31.26,12,12,39.2,43.1,35235.45,50.0,7608.0,5888,17.0,20.8,27.5,18.5,23.1,28.3,67.9,61.1,61.1,56.6,50.0,42.6
1750087727.3572953,16.05980134010315,2025-06-16T17:28:47.357295,11,207.4,19348.26,31.26,12,12,18.7,43.1,35238.32,0.0,7608.0,5888,7.5,7.5,16.4,9.4,5.7,7.7,30.2,30.2,31.5,25.9,28.8,17.3
1750087727.8904338,16.592939853668213,2025-06-16T17:28:47.890434,11,226.4,19280.71,31.15,11,12,20.2,43.0,35268.3,3.0,7607.0,5888,16.7,5.7,17.3,3.8,25.0,11.3,30.2,33.3,32.7,32.1,9.4,26.4
1750087728.4199424,17.122448444366455,2025-06-16T17:28:48.419942,11,440.5,19359.11,31.28,12,12,38.5,43.0,35284.96,51.0,7607.0,5888,36.5,13.0,13.2,14.8,35.2,26.4,46.3,66.0,64.8,66.0,37.0,45.3
1750087728.9553394,17.657845497131348,2025-06-16T17:28:48.955339,11,453.0,19338.27,31.24,12,12,38.1,42.8,35387.48,36.0,7599.0,5888,22.6,9.6,9.3,17.0,39.6,32.1,64.2,64.2,66.0,52.8,37.7,40.4
1750087729.4857726,18.188278675079346,2025-06-16T17:28:49.485773,11,171.3,19351.34,31.27,11,12,14.9,42.8,35434.08,39.0,7599.0,5888,9.4,11.1,7.7,13.2,0.0,9.3,24.5,26.4,26.4,14.8,26.4,9.4
1750087730.0179877,18.72049379348755,2025-06-16T17:28:50.017988,11,512.6,19353.71,31.27,11,12,43.2,42.8,35410.46,48.0,7599.0,5888,26.4,11.3,13.2,3.8,17.3,34.0,71.7,75.0,75.0,73.1,74.1,47.2
1750087730.5505347,19.25304079055786,2025-06-16T17:28:50.550535,11,210.6,19333.23,31.24,11,12,18.3,42.8,35397.55,0.0,7599.0,5888,13.2,18.9,7.5,1.9,5.6,7.8,22.6,25.9,31.5,31.5,30.2,20.8
1750087731.0807798,19.78328585624695,2025-06-16T17:28:51.080780,11,493.5,19364.11,31.29,12,12,41.8,42.9,35341.9,54.0,7601.0,5888,25.9,41.5,28.8,40.0,14.8,33.3,55.6,35.8,59.3,56.6,66.0,42.6
1750087731.6161199,20.318625926971436,2025-06-16T17:28:51.616120,11,395.5,19353.99,31.27,12,12,33.7,42.9,35361.51,30.0,7601.0,5888,13.5,34.6,16.7,21.2,21.2,32.1,56.6,26.4,57.7,52.8,48.1,25.0
1750087732.1476223,20.850128412246704,2025-06-16T17:28:52.147622,11,222.8,19374.22,31.3,12,12,19.4,42.9,35340.62,34.0,7601.0,5888,5.6,9.3,9.4,18.9,11.3,22.6,34.0,29.6,33.3,18.9,26.9,9.3
1750087732.683446,21.38595199584961,2025-06-16T17:28:52.683446,11,466.7,19369.39,31.29,12,12,40.1,42.9,35355.55,27.0,7601.0,5888,26.4,18.9,43.4,37.0,22.2,60.4,56.6,66.0,44.2,41.5,51.9,15.1
1750087733.2154226,21.91792869567871,2025-06-16T17:28:53.215423,11,227.0,19337.41,31.24,12,12,20.6,42.8,35414.68,3.0,7601.0,5888,12.7,9.4,13.2,15.1,20.8,14.8,32.1,32.1,32.1,23.6,20.8,21.2
1750087733.7473984,22.449904441833496,2025-06-16T17:28:53.747398,11,518.5,19381.12,31.31,12,12,43.9,42.8,35430.75,51.0,7601.0,5888,21.2,24.5,42.6,53.7,48.1,54.7,68.5,63.0,53.7,34.6,35.2,29.1
1750087734.282118,22.98462414741516,2025-06-16T17:28:54.282118,11,475.4,19353.22,31.27,12,12,43.9,42.8,35381.85,32.0,7601.0,5888,23.1,13.2,66.0,46.2,36.4,34.6,61.5,75.5,33.3,43.4,53.7,41.5
1750087734.8144586,23.51696467399597,2025-06-16T17:28:54.814459,11,210.7,19332.91,31.24,10,12,18.1,42.8,35380.91,0.0,7601.0,5888,3.8,5.7,15.4,20.4,3.8,14.8,31.5,30.2,25.0,11.5,30.2,21.2
1750087735.3447697,24.04727578163147,2025-06-16T17:28:55.344770,11,516.5,19364.47,31.29,12,12,44.1,42.7,35485.58,53.0,7601.0,5888,27.8,22.6,23.1,9.4,24.5,50.0,66.0,66.0,75.5,77.8,66.0,20.8
1750087735.8803682,24.582874298095703,2025-06-16T17:28:55.880368,11,374.3,19340.67,31.25,12,12,31.7,42.7,35455.89,30.0,7601.0,5888,5.8,9.6,27.3,39.6,15.1,27.8,54.7,48.1,57.4,22.2,39.6,26.4
1750087736.4117799,25.114285945892334,2025-06-16T17:28:56.411780,11,255.7,19377.85,31.31,12,12,22.0,42.7,35494.02,24.0,7601.0,5888,13.0,7.4,9.4,21.2,35.2,13.2,38.9,38.5,39.6,21.2,9.3,24.1
1750087736.9467661,25.649272203445435,2025-06-16T17:28:56.946766,11,463.0,19369.21,31.29,12,12,39.3,42.7,35472.0,35.0,7601.0,5888,11.5,50.0,22.6,27.8,38.5,24.1,67.9,34.5,67.9,51.9,26.4,45.3
1750087737.48177,26.18427610397339,2025-06-16T17:28:57.481770,11,590.2,19381.96,31.31,12,12,50.2,42.7,35481.98,54.0,7601.0,5888,20.8,49.1,43.4,44.4,48.1,30.8,81.1,52.8,61.1,57.4,59.3,58.5
1750087738.0127716,26.715277671813965,2025-06-16T17:28:58.012772,11,487.9,19371.96,31.3,12,12,42.4,42.8,35384.66,29.0,7601.0,5888,30.2,23.1,43.4,38.5,45.3,30.2,63.0,58.5,43.4,58.5,29.6,43.6
1750087738.5464926,27.248998641967773,2025-06-16T17:28:58.546493,11,127.4,19393.66,31.33,9,12,12.2,42.8,35412.56,29.0,7601.0,5888,17.0,3.8,3.8,15.1,5.5,1.9,13.2,21.8,21.2,5.7,18.5,17.3
1750087739.0802603,27.782766342163086,2025-06-16T17:28:59.080260,11,579.2,19364.0,31.29,12,12,49.0,42.8,35425.29,52.0,7601.0,5888,27.8,14.8,39.6,64.2,24.5,37.0,77.8,81.1,63.0,38.9,70.4,53.8
1750087739.6137087,28.31621479988098,2025-06-16T17:28:59.613709,11,220.3,19344.5,31.25,11,12,19.4,42.7,35444.29,21.0,7601.0,5888,9.6,11.1,11.3,11.1,1.9,17.0,30.2,30.2,32.1,26.4,28.8,17.0
1750087740.1441462,28.846652269363403,2025-06-16T17:29:00.144146,11,422.5,19367.09,31.29,12,12,35.5,42.6,35532.9,60.0,7601.0,5888,9.3,9.4,29.6,17.0,28.3,26.4,63.5,62.3,60.4,58.5,38.9,28.3
1750087740.6783273,29.380833387374878,2025-06-16T17:29:00.678327,11,480.6,19394.04,31.33,12,12,48.3,42.9,35317.26,49.0,7601.0,5888,30.2,50.0,15.1,30.2,24.5,24.5,76.4,55.6,73.6,66.7,64.2,66.0
1750087741.2104764,29.91298246383667,2025-06-16T17:29:01.210476,11,153.4,19370.31,31.3,12,12,21.3,43.1,35189.53,10.0,7601.0,5888,11.3,20.0,87.0,20.4,14.8,11.3,22.6,20.8,15.1,7.7,11.1,11.3
1750087741.7487378,30.45124387741089,2025-06-16T17:29:01.748738,11,559.4,19382.23,31.32,12,12,55.5,43.4,35008.73,46.0,7601.0,5888,48.1,32.1,59.6,52.8,32.1,61.1,77.4,74.1,54.7,60.0,81.1,34.5
1750087742.2808452,30.983351230621338,2025-06-16T17:29:02.280845,11,216.8,19361.75,31.28,12,12,22.8,42.9,35321.47,0.0,7601.0,5888,21.2,7.7,40.7,11.5,11.3,17.3,17.0,31.5,34.0,32.1,31.5,17.3
1750087742.8117795,31.514285564422607,2025-06-16T17:29:02.811779,11,445.4,19420.96,31.38,12,12,38.2,42.9,35314.92,49.0,7601.0,5888,9.4,16.4,42.3,38.9,13.0,28.3,66.0,66.0,29.6,38.5,66.0,42.6
1750087743.347047,32.04955315589905,2025-06-16T17:29:03.347047,11,451.1,19385.48,31.32,12,12,39.6,43.0,35300.85,38.0,7601.0,5888,11.3,15.4,45.3,18.9,9.6,34.0,66.7,66.0,43.4,63.6,62.3,39.6
