Run,Scene,Setup,TableSize,Time_Seconds
1,office0,A,16,395.1117
1,office0,A,19,395.4354
1,office0,B,16,388.9500
1,office0,B,19,410.9577
1,office0,C,16,387.7756
1,office0,C,19,417.2117
1,office0,D,16,404.1754
1,office0,D,19,420.4913
1,office1,A,16,375.0172
1,office1,A,19,397.6135
1,office1,B,16,380.8952
1,office1,B,19,383.2716
1,office1,C,16,382.0237
1,office1,C,19,403.7160
1,office1,D,16,402.9052
1,office1,D,19,399.6794
1,office2,A,16,412.2753
1,office2,A,19,433.4979
1,office2,B,16,395.1296
1,office2,B,19,414.3057
1,office2,C,16,420.7816
1,office2,C,19,423.6946
1,office2,D,16,422.0578
1,office2,D,19,422.6532
1,office3,A,16,424.4890
1,office3,A,19,448.9479
1,office3,B,16,433.9686
1,office3,B,19,441.5749
1,office3,C,16,432.3507
1,office3,C,19,442.0793
1,office3,D,16,426.8016
1,office3,D,19,437.9566
1,office4,A,16,383.7074
1,office4,A,19,419.7114
1,office4,B,16,391.2233
1,office4,B,19,421.3388
1,office4,C,16,412.3377
1,office4,C,19,418.9814
1,office4,D,16,407.4375
1,office4,D,19,420.9428
1,room0,A,16,389.4486
1,room0,A,19,403.8398
1,room0,B,16,383.3808
1,room0,B,19,409.1102
1,room0,C,16,413.5518
1,room0,C,19,426.3061
1,room0,D,16,410.1336
1,room0,D,19,409.1773
1,room1,A,16,395.2300
1,room1,A,19,419.2445
1,room1,B,16,396.4474
1,room1,B,19,409.0369
1,room1,C,16,402.9624
1,room1,C,19,410.5004
1,room1,D,16,399.3517
1,room1,D,19,431.5612
1,room2,A,16,384.2485
1,room2,A,19,408.9496
1,room2,B,16,405.9321
1,room2,B,19,406.4517
1,room2,C,16,398.0070
1,room2,C,19,418.9281
1,room2,D,16,404.4444
1,room2,D,19,422.0044
2,office0,A,16,379.2593
2,office0,A,19,396.4889
2,office0,B,16,391.0725
2,office0,B,19,402.0410
2,office0,C,16,394.4410
2,office0,C,19,419.5031
2,office0,D,16,406.0750
2,office0,D,19,406.0969
2,office1,A,16,379.0650
2,office1,A,19,402.3887
2,office1,B,16,376.4670
2,office1,B,19,388.8870
2,office1,C,16,391.6647
2,office1,C,19,402.2551
2,office1,D,16,388.8921
2,office1,D,19,408.8578
2,office2,A,16,404.6332
2,office2,A,19,416.8399
2,office2,B,16,398.9879
2,office2,B,19,420.8372
2,office2,C,16,421.8560
2,office2,C,19,435.5181
2,office2,D,16,411.7062
2,office2,D,19,423.0811
2,office3,A,16,424.5358
2,office3,A,19,437.2722
2,office3,B,16,435.1829
2,office3,B,19,427.7996
2,office3,C,16,443.3738
2,office3,C,19,440.3458
2,office3,D,16,432.9034
2,office3,D,19,436.8092
2,office4,A,16,400.9124
2,office4,A,19,416.1007
2,office4,B,16,387.7857
2,office4,B,19,404.9271
2,office4,C,16,393.4320
2,office4,C,19,424.8481
2,office4,D,16,400.0018
2,office4,D,19,424.4821
2,room0,A,16,387.5072
2,room0,A,19,413.8846
2,room0,B,16,392.3935
2,room0,B,19,410.2560
2,room0,C,16,396.9466
2,room0,C,19,422.8804
2,room0,D,16,397.6477
2,room0,D,19,423.6900
2,room1,A,16,401.4400
2,room1,A,19,420.1505
2,room1,B,16,401.1644
2,room1,B,19,407.4078
