Scene,Setup,TableSize,Time_Seconds
office0,A,16,382.3331
office0,A,19,408.7366
office0,B,16,393.8193
office0,B,19,403.9186
office0,C,16,383.9462
office0,C,19,415.8032
office0,D,16,406.6818
office0,D,19,417.4624
office1,A,16,379.4485
office1,A,19,404.7342
office1,B,16,388.9121
office1,B,19,396.4683
office1,C,16,388.8430
office1,C,19,417.0026
office1,D,16,381.2009
office1,D,19,404.1412
office2,A,16,404.5027
office2,A,19,420.1871
office2,B,16,409.7370
office2,B,19,423.8653
office2,C,16,421.6819
office2,C,19,423.3454
office2,D,16,403.5096
office2,D,19,422.1692
office3,A,16,431.8394
office3,A,19,435.4289
office3,B,16,413.5844
office3,B,19,433.9244
office3,C,16,425.7088
office3,C,19,460.1325
office3,D,16,444.7897
office3,D,19,449.5871
office4,A,16,392.1347
office4,A,19,413.3584
office4,B,16,407.0521
office4,B,19,402.4307
office4,C,16,407.6027
office4,C,19,418.7357
office4,D,16,409.1660
office4,D,19,417.8408
room0,A,16,390.3298
room0,A,19,400.8683
room0,B,16,403.3631
room0,B,19,418.3980
room0,C,16,403.2227
room0,C,19,426.0572
room0,D,16,410.5831
room0,D,19,412.6899
room1,A,16,401.9210
room1,A,19,421.7427
room1,B,16,405.7085
room1,B,19,414.9461
room1,C,16,393.2470
room1,C,19,426.9643
room1,D,16,415.6651
room1,D,19,416.7793
room2,A,16,389.8218
room2,A,19,406.5211
room2,B,16,402.6187
room2,B,19,403.6353
room2,C,16,402.4847
room2,C,19,407.0739
room2,D,16,395.1612
room2,D,19,413.1537
