frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,2.193760,2.052896,7.424000
1,tracking,1,1.552384,1.740704,4.036736
1,tracking,2,1.304256,1.715456,3.603840
1,tracking,3,1.290240,1.709760,3.578880
1,tracking,4,1.285120,1.712864,3.582976
1,tracking,5,1.282880,1.715552,3.577856
1,tracking,6,1.299456,1.710080,3.582976
1,tracking,7,1.280288,1.724384,3.582368
1,tracking,8,1.300032,1.710560,3.568640
1,tracking,9,1.288736,1.778624,3.646464
2,tracking,0,1.353728,1.835584,4.516864
2,tracking,1,1.309920,1.803584,3.694752
2,tracking,2,1.444864,1.943040,4.062368
2,tracking,3,1.421312,1.990240,4.003840
2,tracking,4,1.376160,2.020256,3.966976
2,tracking,5,1.312768,2.042496,3.908960
2,tracking,6,1.310912,2.036448,3.908608
2,tracking,7,1.296384,2.044448,3.898368
2,tracking,8,1.302304,2.048960,3.907584
2,tracking,9,1.297120,2.051584,3.906976
3,tracking,0,1.315904,1.929152,4.514816
3,tracking,1,1.328128,2.022272,3.927040
3,tracking,2,1.382624,1.821152,3.801088
3,tracking,3,1.564096,1.797280,4.002816
3,tracking,4,1.429632,1.777920,3.810304
3,tracking,5,1.319584,1.789504,3.682304
3,tracking,6,1.342304,1.762656,3.660800
3,tracking,7,1.291264,2.008064,3.864576
3,tracking,8,1.288864,2.069408,3.920896
3,tracking,9,1.297664,1.956256,3.811392
4,tracking,0,1.301568,1.904960,4.547584
4,tracking,1,1.299680,1.756992,3.620224
4,tracking,2,1.691584,2.005408,4.375552
4,tracking,3,1.512672,2.067200,4.206592
4,tracking,4,1.359616,1.806304,3.725728
4,tracking,5,1.313792,1.754304,3.641344
4,tracking,6,1.312448,1.747552,3.621888
4,tracking,7,1.316800,1.745952,3.613696
4,tracking,8,1.300480,1.992096,3.859456
4,tracking,9,1.297376,1.900768,3.746816
5,tracking,0,1.320352,1.855232,4.484160
5,tracking,1,1.300608,1.975392,3.850240
5,tracking,2,1.340416,2.113440,4.102176
5,tracking,3,1.569408,2.045600,4.307968
5,tracking,4,1.378400,2.006560,3.959936
5,tracking,5,1.320704,2.005920,3.886080
