frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,2.159904,2.102208,7.268352
1,tracking,1,1.481824,1.622528,3.851264
1,tracking,2,1.352704,1.604672,3.534848
1,tracking,3,1.348352,1.818016,3.732480
1,tracking,4,1.329184,1.781216,3.682304
1,tracking,5,1.339296,1.814048,3.729408
1,tracking,6,1.342560,1.810560,3.722240
1,tracking,7,1.335552,1.846912,3.753984
1,tracking,8,1.334176,1.854784,3.752960
1,tracking,9,1.333504,1.908960,3.819712
2,tracking,0,1.365696,1.787456,4.559488
2,tracking,1,1.437600,1.666432,3.762176
2,tracking,2,1.660064,1.981984,4.329472
2,tracking,3,1.408000,1.939808,3.956736
2,tracking,4,1.477184,1.841696,4.080640
2,tracking,5,1.337664,1.913920,3.888128
2,tracking,6,1.324032,1.916288,3.803136
2,tracking,7,1.659328,1.917888,4.144128
2,tracking,8,1.340416,1.912864,3.807232
2,tracking,9,1.335456,1.943840,3.830784
3,tracking,0,1.376160,1.780320,4.434848
3,tracking,1,1.381440,1.668352,3.605504
3,tracking,2,1.434624,1.784032,3.855360
3,tracking,3,1.542144,1.814848,4.120704
3,tracking,4,1.456384,2.051968,4.232960
3,tracking,5,1.382336,1.806656,3.749888
3,tracking,6,1.371136,1.921664,3.857568
3,tracking,7,1.367008,2.043360,3.960864
3,tracking,8,1.379392,1.680544,3.637248
3,tracking,9,1.375680,1.671712,3.599360
4,tracking,0,1.376576,1.864288,4.616448
4,tracking,1,1.366752,1.972832,4.028864
4,tracking,2,1.658880,1.959648,4.527360
4,tracking,3,1.455104,1.733056,3.917920
4,tracking,4,1.395488,1.806304,3.761472
4,tracking,5,1.370560,1.668704,3.592512
4,tracking,6,1.372160,1.713440,3.666144
4,tracking,7,1.368096,1.670336,3.591552
4,tracking,8,1.359072,1.921216,3.832832
4,tracking,9,1.371456,1.919360,3.844096
5,tracking,0,1.363744,1.827712,4.442752
5,tracking,1,1.368352,1.677152,3.603456
5,tracking,2,1.430432,1.929536,4.044800
5,tracking,3,1.466720,1.728896,3.891392
5,tracking,4,1.532928,1.742080,3.873152
5,tracking,5,1.384064,1.671584,3.605504
5,tracking,6,1.366016,1.667584,3.575808
5,tracking,7,1.369312,1.921920,3.837952
5,tracking,8,1.387808,1.656672,3.589120
5,tracking,9,1.351648,1.910528,3.802144
5,bundle_adjustment,0,4.092928,6.059008,13.920480
5,bundle_adjustment,1,3.820576,5.801248,11.873280
5,bundle_adjustment,2,3.601408,5.904384,11.793408
5,bundle_adjustment,3,3.846272,5.546208,11.800576
5,bundle_adjustment,4,3.848192,5.526528,11.659264
5,bundle_adjustment,5,3.616576,5.617696,11.417728
5,bundle_adjustment,6,3.584096,5.655552,11.423744
5,bundle_adjustment,7,3.600448,5.613888,11.458880
5,bundle_adjustment,8,3.619840,5.678144,11.476992
5,bundle_adjustment,9,3.588096,5.620736,11.457536
6,tracking,0,1.715200,1.634688,4.848640
6,tracking,1,1.419200,1.848832,4.039680
6,tracking,2,1.547360,1.742304,4.134176
6,tracking,3,1.411040,1.699808,3.680256
6,tracking,4,1.372736,1.673280,3.611008
6,tracking,5,1.359840,1.682976,3.590144
6,tracking,6,1.364992,1.736768,3.646464
6,tracking,7,1.365920,1.669280,3.570688
6,tracking,8,1.367104,1.882560,3.795968
6,tracking,9,1.371136,1.676576,3.591168
7,tracking,0,1.493184,1.745312,4.629632
7,tracking,1,1.381824,1.693472,3.629056
7,tracking,2,1.458176,2.108736,4.458496
7,tracking,3,1.447936,1.715008,3.765408
7,tracking,4,1.412960,1.685920,3.672288
7,tracking,5,1.384352,1.748640,3.693792
7,tracking,6,1.371232,1.673280,3.597504
7,tracking,7,1.356448,1.678336,3.582976
7,tracking,8,1.375232,1.924032,3.838976
7,tracking,9,1.375136,1.912096,3.823616
8,tracking,0,1.503424,1.872192,4.750336
8,tracking,1,1.455104,2.084896,4.538688
8,tracking,2,1.489568,2.056992,4.489216
8,tracking,3,1.791808,1.931840,4.423744
8,tracking,4,1.370848,1.768864,3.915840
8,tracking,5,1.388672,1.673216,3.635200
8,tracking,6,1.366752,1.672352,3.591648
8,tracking,7,1.366016,1.913184,3.821568
8,tracking,8,1.367040,1.917824,3.832832
8,tracking,9,1.376256,1.914240,3.830176
9,tracking,0,1.368320,1.925632,4.534592
9,tracking,1,1.412832,1.944800,3.935232
9,tracking,2,1.449984,2.076160,4.240384
9,tracking,3,1.491968,2.054496,4.513792
9,tracking,4,1.402304,1.974560,3.945472
9,tracking,5,1.372736,1.680672,3.597376
9,tracking,6,1.351680,1.670720,3.582336
9,tracking,7,1.349472,1.667968,3.571712
9,tracking,8,1.369184,1.772992,3.697024
9,tracking,9,1.386432,1.943424,3.895296
10,tracking,0,1.493088,1.972160,4.888192
10,tracking,1,1.387648,2.015872,4.191232
10,tracking,2,1.554656,2.018176,4.431648
10,tracking,3,1.434368,1.975328,3.971072
10,tracking,4,1.388544,1.958336,3.892224
10,tracking,5,1.356192,1.955904,3.856384
10,tracking,6,1.360064,1.874944,3.776512
10,tracking,7,1.365248,1.990400,3.894272
10,tracking,8,1.372160,1.968288,3.890176
10,tracking,9,1.370112,2.112832,4.032512
10,bundle_adjustment,0,3.008576,4.972544,11.465728
10,bundle_adjustment,1,2.859168,4.710400,9.946112
10,bundle_adjustment,2,2.823456,4.632576,9.787392
10,bundle_adjustment,3,2.856352,4.781056,9.952256
10,bundle_adjustment,4,2.801312,4.532224,9.971136
10,bundle_adjustment,5,2.820480,4.525280,10.357760
10,bundle_adjustment,6,2.810720,4.566176,9.681920
10,bundle_adjustment,7,3.017280,4.728832,10.103232
10,bundle_adjustment,8,3.021824,4.677792,10.064896
10,bundle_adjustment,9,2.989056,4.543488,10.332160
11,tracking,0,1.547456,1.648992,4.818944
11,tracking,1,1.401856,1.694752,3.792832
11,tracking,2,1.545792,1.847232,4.107616
11,tracking,3,1.453920,1.727648,3.790912
11,tracking,4,1.411008,1.782272,3.762336
11,tracking,5,1.372928,1.904480,3.832832
11,tracking,6,1.371904,1.944224,3.888128
11,tracking,7,1.369056,1.932128,3.841024
11,tracking,8,1.382048,1.928032,3.852288
11,tracking,9,1.371904,1.710144,3.631104
12,tracking,0,1.512096,1.798432,4.637952
12,tracking,1,1.441728,2.135296,4.167680
12,tracking,2,1.600512,1.791072,4.436640
12,tracking,3,1.424096,1.701536,3.718144
12,tracking,4,1.377280,1.676800,3.614944
12,tracking,5,1.396448,1.666496,3.618816
12,tracking,6,1.371136,1.680000,3.624352
12,tracking,7,1.378304,1.813760,3.737600
12,tracking,8,1.380224,1.870944,3.795968
12,tracking,9,1.376352,1.717664,3.670272
13,tracking,0,1.499456,1.723552,4.608288
13,tracking,1,1.371136,1.681888,3.615872
13,tracking,2,1.435712,1.854688,4.108288
13,tracking,3,1.525760,1.729568,4.048896
13,tracking,4,1.400000,1.727680,3.693568
13,tracking,5,1.387520,1.716736,3.656864
13,tracking,6,1.371136,1.668576,3.604512
13,tracking,7,1.366080,1.695264,3.608576
13,tracking,8,1.386240,1.665952,3.605504
13,tracking,9,1.386304,1.680160,3.633152
14,tracking,0,1.407328,1.774592,4.531200
14,tracking,1,1.398784,1.777984,3.733856
14,tracking,2,1.740000,1.783552,4.196384
14,tracking,3,1.532928,1.734240,3.867648
14,tracking,4,1.409024,1.672704,3.644416
14,tracking,5,1.372192,1.668096,3.597632
14,tracking,6,1.373856,1.667168,3.592192
14,tracking,7,1.366208,1.905952,3.831808
14,tracking,8,1.371264,1.665760,3.591168
14,tracking,9,1.369760,1.667072,3.579936
15,tracking,0,1.498976,2.139744,5.077824
15,tracking,1,1.370048,2.020960,3.930112
15,tracking,2,1.500160,2.021280,4.162560
15,tracking,3,1.430528,1.989056,4.008992
15,tracking,4,1.394688,1.930688,3.873024
15,tracking,5,1.355040,1.917376,3.810528
15,tracking,6,1.355904,1.827648,3.724288
15,tracking,7,1.363264,1.868032,3.973120
