frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,2.460640,2.219008,8.138752
1,tracking,1,1.446880,1.685120,3.847904
1,tracking,2,1.297248,1.673536,3.550208
1,tracking,3,1.299392,1.898976,3.769344
1,tracking,4,1.313856,1.699040,3.598336
1,tracking,5,1.291904,1.896384,3.763200
1,tracking,6,1.303392,1.705504,3.574080
1,tracking,7,1.366752,1.775488,3.709952
1,tracking,8,1.307648,1.713568,3.594240
1,tracking,9,1.303936,2.076576,3.952640
2,tracking,0,1.583104,1.813248,4.868064
2,tracking,1,1.301504,1.742272,3.600384
2,tracking,2,1.321696,1.894176,3.995712
2,tracking,3,1.502208,1.801312,4.300064
2,tracking,4,1.471328,2.015296,4.181024
2,tracking,5,1.325056,2.001824,3.880960
2,tracking,6,1.308960,1.728320,3.590336
2,tracking,7,1.298720,1.983552,3.835264
2,tracking,8,1.297760,1.986144,3.826080
2,tracking,9,1.303552,1.992192,3.846144
3,tracking,0,1.568768,1.771488,5.007008
3,tracking,1,1.417024,1.861440,3.914816
3,tracking,2,1.344928,1.952352,3.866048
3,tracking,3,1.683872,2.043392,4.622336
3,tracking,4,1.405024,1.916928,3.958048
3,tracking,5,1.295744,1.747424,3.607584
3,tracking,6,1.310368,1.730464,3.586048
3,tracking,7,1.300480,1.805696,3.692896
3,tracking,8,1.305760,2.006752,3.878144
3,tracking,9,1.301504,1.891136,3.745792
4,tracking,0,1.435808,1.897056,4.699840
4,tracking,1,1.301216,1.755168,3.623936
4,tracking,2,1.595392,1.920448,4.190240
4,tracking,3,1.397728,1.790464,3.790848
4,tracking,4,1.352704,1.736896,3.667968
4,tracking,5,1.302176,1.732576,3.591168
4,tracking,6,1.313568,1.893088,3.756032
4,tracking,7,1.328128,1.982336,3.855360
4,tracking,8,1.283072,1.978912,3.817472
4,tracking,9,1.283904,1.982528,3.814400
5,tracking,0,1.431584,1.768384,4.570112
5,tracking,1,1.296704,1.735840,3.591168
5,tracking,2,1.353888,1.752128,3.667968
5,tracking,3,1.727520,1.806688,4.292608
5,tracking,4,1.458176,1.772576,3.827808
5,tracking,5,1.325056,1.985312,3.871744
5,tracking,6,1.293088,1.934432,3.768320
5,tracking,7,1.297024,1.737440,3.586048
5,tracking,8,1.294368,1.978624,3.819520
5,tracking,9,1.283072,1.978528,3.805184
5,bundle_adjustment,0,3.769344,6.396896,14.188928
5,bundle_adjustment,1,3.465984,6.021120,11.981824
5,bundle_adjustment,2,3.282944,5.978752,11.609088
5,bundle_adjustment,3,3.196928,5.848064,11.489280
5,bundle_adjustment,4,3.079008,5.923232,11.252864
5,bundle_adjustment,5,3.058688,5.920768,11.209728
5,bundle_adjustment,6,3.056736,5.922816,11.193344
5,bundle_adjustment,7,3.035136,5.907456,11.156480
5,bundle_adjustment,8,3.076800,5.898240,11.186176
5,bundle_adjustment,9,3.031968,5.894144,11.142144
6,tracking,0,1.586336,1.714496,4.720384
6,tracking,1,1.302528,2.038752,4.003008
6,tracking,2,1.625120,2.103296,4.402560
6,tracking,3,1.406560,2.025120,4.040896
6,tracking,4,1.336768,1.990048,3.895392
6,tracking,5,1.362528,2.092704,4.020224
6,tracking,6,1.311648,2.014560,3.882048
6,tracking,7,1.305728,2.006144,3.852288
6,tracking,8,1.301696,1.985056,3.829792
6,tracking,9,1.297472,1.908928,3.751200
7,tracking,0,1.413088,1.790304,4.594336
7,tracking,1,1.289888,1.744352,3.587456
7,tracking,2,1.335712,1.762272,3.673504
7,tracking,3,1.851968,1.842624,4.451744
7,tracking,4,1.416000,1.764160,3.765248
7,tracking,5,1.312832,1.739200,3.603680
7,tracking,6,1.302208,1.733984,3.572736
7,tracking,7,1.291264,1.734112,3.612672
7,tracking,8,1.289216,1.783904,3.627232
7,tracking,9,1.329152,2.011040,3.918848
8,tracking,0,1.433472,1.832416,4.669152
8,tracking,1,1.298784,2.135744,3.990720
8,tracking,2,1.600512,1.987232,4.246528
8,tracking,3,1.366016,1.800832,3.783680
8,tracking,4,1.334272,1.815136,3.723264
8,tracking,5,1.325056,1.736032,3.620032
8,tracking,6,1.293504,1.733984,3.575808
8,tracking,7,1.302528,1.732224,3.590144
8,tracking,8,1.298624,1.897856,3.756032
8,tracking,9,1.294336,1.985440,3.826688
9,tracking,0,1.428480,2.103456,4.881408
9,tracking,1,1.296512,2.039232,3.889152
9,tracking,2,1.341440,1.945152,3.865600
9,tracking,3,1.932288,1.993536,4.641792
9,tracking,4,1.449344,1.872864,3.960224
9,tracking,5,1.312064,1.737376,3.608576
9,tracking,6,1.300192,1.732832,3.590144
9,tracking,7,1.296800,1.989920,3.826688
9,tracking,8,1.316864,2.030720,3.933184
9,tracking,9,1.299808,2.106336,3.955712
10,tracking,0,1.422336,2.007360,4.779840
10,tracking,1,1.302464,2.028768,3.886080
10,tracking,2,1.485824,2.111776,4.288512
10,tracking,3,1.391616,1.796128,3.793952
10,tracking,4,1.337920,2.015904,3.917888
10,tracking,5,1.293312,1.994720,3.835040
10,tracking,6,1.307680,1.867232,3.723264
10,tracking,7,1.295040,1.735616,3.577856
10,tracking,8,1.297280,1.987712,3.829760
10,tracking,9,1.298272,1.937856,3.775904
10,bundle_adjustment,0,2.766400,5.003360,11.553664
10,bundle_adjustment,1,2.492256,4.777344,9.635840
10,bundle_adjustment,2,2.456320,4.738048,9.546752
10,bundle_adjustment,3,2.450432,4.774912,9.591808
