frame_id,iteration_type,iteration_id,forward_cuda_ms,backward_cuda_ms,full_iteration_cuda_ms
1,tracking,0,2.203872,2.040256,7.283712
1,tracking,1,1.387680,1.877056,3.847168
1,tracking,2,1.338176,1.634208,3.544064
1,tracking,3,1.356224,1.616736,3.533824
1,tracking,4,1.347264,1.731104,3.646816
1,tracking,5,1.349216,1.822048,3.727360
1,tracking,6,1.337376,1.824160,3.722240
1,tracking,7,1.364000,1.646144,3.564544
1,tracking,8,1.429536,1.859520,4.105216
1,tracking,9,1.348160,1.873824,3.818496
2,tracking,0,1.523776,1.849664,4.744192
2,tracking,1,1.330112,1.761920,3.642400
2,tracking,2,1.634944,1.783232,4.117632
2,tracking,3,1.392640,1.668256,3.642368
2,tracking,4,1.356800,1.641952,3.550208
2,tracking,5,1.333248,1.643520,3.530752
2,tracking,6,1.341440,1.639072,3.540128
2,tracking,7,1.335296,1.639136,3.516416
2,tracking,8,1.331232,1.646944,3.518464
2,tracking,9,1.334272,1.640096,3.513344
3,tracking,0,1.463296,1.742432,4.573184
3,tracking,1,1.342336,1.641504,3.528960
3,tracking,2,1.366752,1.670944,3.591168
3,tracking,3,1.574912,2.131072,4.406272
3,tracking,4,1.471648,2.032768,4.289536
3,tracking,5,1.335296,1.819168,3.704832
3,tracking,6,1.329024,1.954432,3.811328
3,tracking,7,1.350656,1.687424,3.578048
3,tracking,8,1.372480,1.664768,3.577856
3,tracking,9,1.363968,1.935872,3.877888
4,tracking,0,1.487936,1.810176,4.694080
4,tracking,1,1.362336,2.104320,4.015104
4,tracking,2,1.660928,2.143520,4.453696
4,tracking,3,1.443936,1.723488,3.762496
4,tracking,4,1.383552,1.674144,3.625984
4,tracking,5,1.360736,1.684000,3.615744
4,tracking,6,1.371296,1.668512,3.579904
4,tracking,7,1.349536,1.664000,3.559424
4,tracking,8,1.366656,1.910688,3.829760
4,tracking,9,1.352992,1.662880,3.562496
5,tracking,0,1.489920,1.746848,4.625408
5,tracking,1,1.348448,1.672896,3.576128
5,tracking,2,1.378304,1.691968,3.627008
5,tracking,3,1.525856,1.709280,3.839200
5,tracking,4,1.413280,1.684320,3.670048
5,tracking,5,1.372928,1.953152,3.903872
5,tracking,6,1.370112,1.926496,3.855360
5,tracking,7,1.374304,1.918336,3.833856
5,tracking,8,1.366976,1.862400,3.769536
5,tracking,9,1.358720,1.901536,3.807232
5,bundle_adjustment,0,4.302464,6.010048,14.352384
5,bundle_adjustment,1,4.040928,5.611360,12.135424
5,bundle_adjustment,2,3.825664,5.595136,11.746368
5,bundle_adjustment,3,3.813376,5.569760,11.638784
5,bundle_adjustment,4,4.104064,5.554560,12.166144
5,bundle_adjustment,5,3.585664,5.523616,11.363328
5,bundle_adjustment,6,3.577088,5.542912,11.366400
5,bundle_adjustment,7,3.578912,5.552128,11.387904
5,bundle_adjustment,8,3.553440,5.574656,11.302912
5,bundle_adjustment,9,3.591424,5.591168,11.474944
6,tracking,0,1.474144,1.659648,4.544608
6,tracking,1,1.353568,1.751360,3.780256
6,tracking,2,1.670176,1.824928,4.160512
6,tracking,3,1.646784,1.700160,4.201472
6,tracking,4,1.375232,1.658848,3.600384
6,tracking,5,1.346560,1.661920,3.558400
6,tracking,6,1.358848,1.652896,3.559424
6,tracking,7,1.343776,1.658912,3.548160
6,tracking,8,1.362272,1.652256,3.557376
6,tracking,9,1.355232,1.806112,3.696640
7,tracking,0,1.485728,2.030816,4.931584
7,tracking,1,1.356800,1.968832,3.870880
7,tracking,2,1.386912,1.736352,3.788800
7,tracking,3,1.517696,1.714240,3.846144
7,tracking,4,1.398912,1.743712,3.798016
7,tracking,5,1.363232,1.711424,3.657728
7,tracking,6,1.355328,1.660032,3.564544
7,tracking,7,1.343200,1.905344,3.801248
7,tracking,8,1.350656,1.788864,3.684352
7,tracking,9,1.352480,1.912384,3.804160
8,tracking,0,1.474688,1.725920,4.679616
8,tracking,1,1.347584,1.672256,3.582976
8,tracking,2,1.440064,2.028896,4.110336
8,tracking,3,1.379200,1.943488,3.876864
8,tracking,4,1.368928,1.703552,3.637536
8,tracking,5,1.354752,1.669024,3.570688
8,tracking,6,1.366304,1.658464,3.566624
8,tracking,7,1.346144,1.666752,3.555328
8,tracking,8,1.351392,1.909312,3.816672
8,tracking,9,1.377280,1.940192,3.882240
9,tracking,0,1.475456,1.678560,4.508672
9,tracking,1,1.353184,1.920800,3.835264
9,tracking,2,1.363968,1.692320,3.624960
9,tracking,3,1.453056,2.055168,4.287488
9,tracking,4,1.403936,1.997312,3.969440
9,tracking,5,1.365728,1.663104,3.573760
9,tracking,6,1.358496,1.657888,3.557376
9,tracking,7,1.350656,1.895040,3.791200
9,tracking,8,1.367040,1.936544,3.877120
9,tracking,9,1.358560,1.878048,3.791104
10,tracking,0,1.481376,1.719392,4.628864
10,tracking,1,1.345632,1.682368,3.587072
10,tracking,2,1.468416,1.813152,3.944896
10,tracking,3,1.448960,1.975008,4.017152
10,tracking,4,1.417216,1.923968,3.913728
10,tracking,5,1.375584,1.918752,3.835904
10,tracking,6,1.367136,1.895232,3.814400
10,tracking,7,1.345088,1.845280,3.738624
10,tracking,8,1.351840,1.794656,3.690560
10,tracking,9,1.379040,1.932384,3.872768
10,bundle_adjustment,0,2.926752,4.835392,11.283200
10,bundle_adjustment,1,2.824800,4.569088,9.869312
10,bundle_adjustment,2,2.800896,4.568064,9.801728
10,bundle_adjustment,3,2.804352,4.531200,9.645056
10,bundle_adjustment,4,3.205120,4.563968,10.662048
10,bundle_adjustment,5,2.976064,4.563968,11.435680
10,bundle_adjustment,6,2.825216,4.538368,9.700704
10,bundle_adjustment,7,2.821120,4.564992,9.732480
10,bundle_adjustment,8,2.800640,4.533376,9.767360
10,bundle_adjustment,9,3.078208,4.602880,10.457088
11,tracking,0,1.454240,1.683968,4.463392
11,tracking,1,1.341440,1.671200,3.653632
11,tracking,2,1.371136,1.702976,3.659776
11,tracking,3,1.538368,1.734368,3.954688
11,tracking,4,1.430400,1.961472,3.960832
11,tracking,5,1.411168,1.707680,3.675136
11,tracking,6,1.354752,1.666720,3.639296
11,tracking,7,1.342272,1.664096,3.554304
11,tracking,8,1.352800,1.658944,3.562720
11,tracking,9,1.353888,1.910176,3.821568
12,tracking,0,1.469440,1.734432,4.642592
12,tracking,1,1.349600,1.935584,3.853312
12,tracking,2,1.469088,2.109408,4.251008
12,tracking,3,1.470464,1.970112,4.064256
12,tracking,4,1.375232,1.715008,3.654656
12,tracking,5,1.355072,1.667712,3.578144
12,tracking,6,1.352288,1.657472,3.555328
12,tracking,7,1.338400,1.665440,3.549440
12,tracking,8,1.354592,1.997856,3.919008
12,tracking,9,1.333248,1.922912,3.807488
13,tracking,0,1.485056,1.719008,4.584672
13,tracking,1,1.345184,1.664896,3.582048
13,tracking,2,1.369088,1.688384,3.606528
13,tracking,3,1.501024,1.957920,4.109344
13,tracking,4,1.405856,1.839616,3.817472
13,tracking,5,1.379392,1.965120,3.954784
13,tracking,6,1.341472,1.903616,3.796384
13,tracking,7,1.353568,1.904928,3.798016
13,tracking,8,1.337696,1.675936,3.544192
13,tracking,9,1.353600,1.670560,3.553280
14,tracking,0,1.483808,1.700128,4.603200
14,tracking,1,1.348800,1.667744,3.570688
14,tracking,2,1.390592,1.896960,3.953664
14,tracking,3,1.434624,1.739744,3.929088
14,tracking,4,1.399872,1.671360,3.629056
14,tracking,5,1.340416,1.659488,3.556704
14,tracking,6,1.368896,1.735616,3.658752
14,tracking,7,1.348576,1.665952,3.564576
14,tracking,8,1.350688,1.667648,3.576832
14,tracking,9,1.349472,1.915936,3.807232
15,tracking,0,1.470176,1.964000,4.820992
15,tracking,1,1.344576,1.869888,3.779584
15,tracking,2,1.422336,2.156704,4.196672
15,tracking,3,1.486848,1.902080,4.090880
15,tracking,4,1.400096,1.708704,3.683328
15,tracking,5,1.357728,1.659424,3.557376
15,tracking,6,1.368832,1.671232,3.598496
15,tracking,7,1.367040,1.663584,3.576832
15,tracking,8,1.461568,1.656960,3.964928
15,tracking,9,1.355616,1.906304,3.805184
15,bundle_adjustment,0,3.056640,4.326272,11.006688
15,bundle_adjustment,1,2.547008,4.484064,9.491552
15,bundle_adjustment,2,2.536416,4.302848,9.150464
15,bundle_adjustment,3,2.729984,4.359424,9.447424
15,bundle_adjustment,4,2.695488,4.265984,9.782272
15,bundle_adjustment,5,2.997440,4.244608,10.583744
15,bundle_adjustment,6,2.547712,4.395072,9.380864
15,bundle_adjustment,7,2.560896,4.414752,9.294848
15,bundle_adjustment,8,2.730368,4.311040,9.403392
15,bundle_adjustment,9,2.740576,4.319456,9.704448
16,tracking,0,1.462240,1.660224,4.543168
