Scene,Setup,TableSize,Time_Seconds
office0,A,19,842.8456
office0,A,20,835.6407
office0,B,19,822.1071
office0,B,20,850.6122
office0,A,16,782.6010
office0,A,17,806.5994
office0,A,18,823.0628
office0,B,16,803.6142
office0,B,17,785.4733
office0,B,18,803.7285
office0,A,21,925.1690
office0,A,22,1037.8042
office0,B,21,927.7008
office0,B,22,1037.8256
office1,A,13,820.9876
office1,A,14,776.4179
office1,A,15,801.3907
office1,A,16,779.2606
office1,A,17,793.5494
office1,A,18,793.6677
office1,A,19,809.0299
office1,A,20,842.8779
office1,A,21,898.1753
office1,A,22,976.7187
office1,B,13,810.9224
office1,B,14,804.3723
office1,B,15,805.7903
office1,B,16,801.6679
office1,B,17,811.9037
office1,B,18,804.4786
office1,B,19,803.6149
office1,B,20,822.9641
office1,B,21,910.4462
office1,B,22,1007.7940
office2,A,13,824.2876
office2,A,14,824.0134
office2,A,15,828.4441
office2,A,16,818.6160
office2,A,17,813.7324
office2,A,18,805.7661
office2,A,19,839.0045
office2,A,20,876.4429
office2,A,21,929.9802
office2,A,22,1110.9309
office2,B,13,816.7793
office2,B,14,808.8057
office2,B,15,801.8517
office2,B,16,797.8523
office2,B,17,814.4304
office2,B,18,845.8616
office2,B,19,861.3741
office2,B,20,882.2556
office2,B,21,948.8120
office2,B,22,1109.7392
office3,A,13,830.2280
office3,A,14,859.0523
office3,A,15,854.1904
office3,A,16,861.3437
office3,A,17,853.9089
office3,A,18,857.9147
office3,A,19,844.5157
office3,A,20,903.2411
office3,A,21,958.1942
office3,A,22,1147.2828
office3,B,13,841.9626
office3,B,14,841.5751
office3,B,15,833.9476
office3,B,16,868.7373
office3,B,17,845.5589
office3,B,18,848.2801
office3,B,19,873.0433
office3,B,20,889.6539
office3,B,21,999.6575
office3,B,22,1159.8697
room0,A,13,817.3500
room0,A,14,792.8546
room0,A,15,809.7076
room0,A,16,818.8327
room0,A,17,834.4641
room0,A,18,835.8924
